title,domain,content_type,contains,intended_use,url
גיאומטריה - חלק ב,חשיבה כמותית,ספר קורס,שאלות | חומר לימוד | נוסחאות/כללים,בנק שאלות + חומר לימוד + דף נוסחאות (כמותי),https://courses.campus.gov.il/assets/courseware/v1/e5a732bed6cb767da8e85a5acc220a2e/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/07_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%92%D7%99%D7%90%D7%95%D7%9E%D7%98%D7%A8%D7%99%D7%94_%D7%97%D7%9C%D7%A7_%D7%91.pdf
תרשימים - חלק א,חשיבה כמותית,ספר קורס,שאלות | חומר לימוד | נוסחאות/כללים,בנק שאלות + חומר לימוד + דף נוסחאות (כמותי),https://courses.campus.gov.il/assets/courseware/v1/8c0e2d26098ddc0b1d63e4374ab9a207/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/08_%D7%AA%D7%A8%D7%A9%D7%99%D7%9E%D7%99%D7%9D_%D7%97%D7%9C%D7%A7_%D7%90.pdf
תרשימים - חלק ב,חשיבה כמותית,ספר קורס,שאלות | חומר לימוד | נוסחאות/כללים,בנק שאלות + חומר לימוד + דף נוסחאות (כמותי),https://courses.campus.gov.il/assets/courseware/v1/322203659943710e1485b330bd9fc32c/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/08_%D7%AA%D7%A8%D7%A9%D7%99%D7%9E%D7%99%D7%9D_%D7%97%D7%9C%D7%A7_%D7%91.pdf
חזרות וניהול זמנים,כללי,חומר לימוד,מבנה מבחן | אסטרטגיה | תזמון,מבנה מבחן ותזמון,https://courses.campus.gov.il/assets/courseware/v1/9fbed2fec406fd9e395a5f2366718950/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/09_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%97%D7%96%D7%A8%D7%95%D7%AA_%D7%95%D7%A0%D7%99%D7%94%D7%95%D7%9C_%D7%96%D7%9E%D7%A0%D7%99%D7%9D.pdf
גיליון תשובות לסימולציה,כללי,גיליון תשובות,מבנה גיליון תשובות,התנהגות גיליון תשובות במצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/ed1bb3171cccd1751fd16bcf7895d6a5/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/%D7%92%D7%99%D7%9C%D7%99%D7%95%D7%9F_%D7%AA%D7%A9%D7%95%D7%91%D7%95%D7%AA_%D7%9C%D7%A1%D7%99%D7%9E%D7%95%D7%9C%D7%A6%D7%99%D7%94.pdf
גיליון כתיבה לחיבור,מטלת כתיבה,גיליון כתיבה,מבנה גיליון כתיבה,מטלת כתיבה במצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/be7a6e38d06496181c006c3dab1c6213/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/%D7%92%D7%99%D7%9C%D7%99%D7%95%D7%9F_%D7%9B%D7%AA%D7%99%D7%91%D7%94_%D7%9C%D7%97%D7%99%D7%91%D7%95%D7%A8.pdf
רשימת תיקונים לסימולציות,כללי,רשימת תיקונים (errata),תיקונים לתשובות/שאלות,החלת תיקונים בעת קליטת נתונים — קריטי לשלמות מידע,https://courses.campus.gov.il/assets/courseware/v1/1489be33f27d8b5d037108226bc1f2cb/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA_%D7%AA%D7%99%D7%A7%D7%95%D7%A0%D7%99%D7%9D_%D7%9C%D7%A1%D7%99%D7%9E%D7%95%D7%9C%D7%A6%D7%99%D7%95%D7%AA.pdf
סימולציה קמפוס 1,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/077fbc5bb535c69cf24f13ae651e095b/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_1.pdf
פתרונות סימולציה 1,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/8c40c27fc38f5abf86398ada0ca048d2/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_1.pdf
סימולציה קמפוס 2,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/5bb25b5891848e79d2854322095f4a86/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_2.pdf
פתרונות סימולציה 2,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/4724121ef378bc05bb49eaa25bda93e0/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_2.pdf
סימולציה קמפוס 3,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/dabeac9560e6eb0bfe869e73b05865b3/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_3.pdf
פתרונות סימולציה 3,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/737498e424c04c6b6d7817c5d75d90c5/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_3.pdf
סימולציה קמפוס 4,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/abc45e17005de63fede497bfeb15daa1/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_4.pdf
פתרונות סימולציה 4,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/601a88bcb7857589f5eac8ca3b336ee7/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_4.pdf
סימולציה קמפוס 5,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/18c357732ecf69fe2afa209f0e837e58/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_5.pdf
פתרונות סימולציה 5,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/27c86a9310702d8719227c2676ad4d64/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_5.pdf
סימולציה קמפוס 6,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/a169baeab01a3724cb292a2c4ee690f9/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_6.pdf
פתרונות סימולציה 6,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/178f49a198e6b9c687d450d78e6a3fb4/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_6.pdf
סימולציה קמפוס 7,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/c1ebfbec19a32fbcdac173cafeacb5a5/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_7.pdf
פתרונות סימולציה 7,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/d69d346dafc8fe92e6912379ef8c7f72/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_7.pdf
סימולציה קמפוס 8,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/61914e25553290b0a673052cab943399/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_8.pdf
פתרונות סימולציה 8,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/117a9aa8407a9046b9cd4a442eaa1bb3/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_8.pdf
סימולציה קמפוס 9,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/90b1279cfc59e47ba5d4eea25be278e0/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_9.pdf
פתרונות סימולציה 9,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/552f1dc0cce2a4f65f7b1622503b5043/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_9.pdf
סימולציה קמפוס 10,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/372e244a8dc4fad42922eeff60d749d9/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_10.pdf
פתרונות סימולציה 10,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/71489f9029b62a95cda5d5d946b14595/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_10.pdf
סימולציה קמפוס 11,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/bdaf78b857d7a0a34fce47e55ffb6860/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_11.pdf
פתרונות סימולציה 11,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/4b85d26ae003e1cb6b9d7851d1c6c7ff/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_11.pdf
סימולציה קמפוס 12,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/2ff4acf58a4716e5fe5d0faa5bc98704/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_12.pdf
פתרונות סימולציה 12,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/c05de007f3e097ba337f209acd11c95c/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_12.pdf
סימולציה קמפוס 13,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/806fd2968f83252f234df5ef9f564dc5/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_13.pdf
פתרונות סימולציה 13,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/006117a303a424a5abf20e32ced36e57/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_13.pdf
סימולציה קמפוס 14,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/695c5577a331402df6190e8774ca0f62/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_14.pdf
פתרונות סימולציה 14,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/10b9035a267d14bbf11260f093532f5a/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_14.pdf
סימולציה קמפוס 15,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/b8327e738bf4c9e603766bd0c61fc140/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_15.pdf
פתרונות סימולציה 15,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/014d8690e4156631a488e8ee06065bbf/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_15.pdf
סימולציה קמפוס 16,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/e057e92917aaa4563ac1a01bde88c424/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_16.pdf
פתרונות סימולציה 16,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/fabe3b1d8046aee310bfd4b66822e050/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_16.pdf
סימולציה קמפוס 17,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/96f58a7e7558015ec0cd28564c6f5f77/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_17.pdf
פתרונות סימולציה 17,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/6225650f9d8e54368d6ab48462ad3db0/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_17.pdf
סימולציה קמפוס 18,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/2a650cffe7e29e122ebfcab7116b1f51/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_18.pdf
פתרונות סימולציה 18,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/df503864963e57a6e4d139bf8c213000/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_18.pdf
סימולציה קמפוס 19,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/3bc8ac5acc21d1ecddad9e6a9139ec9b/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_19.pdf
פתרונות סימולציה 19,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/73f25f607bafce3634a5fc42680661d5/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_19.pdf
סימולציה קמפוס 20,כללי (מבחן מלא),סימולציה,שאלות | מבנה מבחן | תזמון,בנק שאלות רשמי + מצב סימולציה,https://courses.campus.gov.il/assets/courseware/v1/5b2e3a4519b45a6ec26581bb408c9418/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/סימולציה_קמפוס_20.pdf
פתרונות סימולציה 20,כללי (מבחן מלא),פתרונות סימולציה,תשובות | הסברים,הסברים רשמיים למצב תרגול/סימולציה,https://courses.campus.gov.il/assets/courseware/v1/80eda1112670102e86fccfef8671a499/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/פתרונות_סימולציה_20.pdf
פתרונות - סתיו Cmp 2018,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/7349514bdd7ea5ea064d7613597bc1f2/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_1809.pdf
פתרונות - חורף Cmp 2018,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/ff37f3cdb29f72e8ad5c13e8fd9189e5/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_1812.pdf
פתרונות - אביב Cmp 2019,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/2b4f4e35f5dc8119a3f2a8ab21ce08d7/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_1904.pdf
פתרונות - קיץ Cmp 2019,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/8fefb7088e657f4ab584489e902bf215/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_1907.pdf
פתרונות - סתיו Cmp 2019,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/ef29e68a4e76339618524a3c237e39a1/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_1909.pdf
פתרונות - חורף Cmp 2019,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/e147dfa687948c434521c8b97072ba03/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_1912.pdf
פתרונות - אביב Cmp 2020,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/8f412bfd753db367d3cc6608cbd82d94/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_2004.pdf
פתרונות - קיץ Cmp 2020,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/b984f457b6779302d26be4f10b5d4a33/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_2007.pdf
פתרונות - סתיו Cmp 2020,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/d0aa17d0db023dba6b3e3ff3796307f1/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_2009.pdf
פתרונות - חורף Cmp 2020,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/5582bf56c43ccbf469cfa1b07a127532/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_2012.pdf
פתרונות - אביב Cmp 2021,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/29c2db5ee16a3735e858d29e26f392cd/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_2103.pdf
פתרונות - קיץ Cmp 2021,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/fb0b88de27ed0c2625069eca091020b4/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_2107.pdf
פתרונות - סתיו Cmp 2021,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/025136cd8d0616b704b74f266a1de9dd/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_2109.pdf
פתרונות - חורף Cmp 2021,כללי (מבחני עבר),פתרונות מבחן עבר,תשובות | הסברים,הסברים רשמיים / בנק שאלות ממבחני עבר,https://courses.campus.gov.il/assets/courseware/v1/2e4d2357044c52311a8069c1ca3314b7/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/Sol_2112.pdf
